1,2,3,4,5,6,OME 6-2016,OME Data type
,,,,,,,
ManufacturerSpec,,,,,,same,-
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,AnnotationRef,,,,,same,Extension of Reference
,,,,,,,
,MapAnnotation,,,,,same,Map
,,ID,,,,same,
,,Namespace,,,,same,
,,Annotator,,,,same,
,,AnnotationRef,,,,same,
,,Description,,,,same,
,,,,,,,
,,Value,,,,same,
,,,M,,,same,
,,,,,K,same,
,,,,,,,
,SpecsFile,,,,,, 
,,,,,,,
,AdditionalVendorInformation,,,,,,
,,ID,,,,,
,,VendorName,,,,,
,,AnnotationRef,,,,same,
,,VendorBinData,,,,,
,,,Compression,,,,
,,,BigEndian,,,,
,,,Length,,,,
,,,,,,,
CommentAnnotation,,,,,,same,-
,ID,,,,,same,AnnotationID
,Namespace,,,,,same,anyURI
,Annotator,,,,,same,ExperimenterID
,AnnotationRef,,,,,same,Extension of Reference
,Description,,,,,same,Element
,,,,,,,
,Value,,,,,same,Element
,,,,,,,
,,,,,,same,-
ID,,,,,,same,LSID
Name,,,,,,,
AnnotationRef,,,,,,same,Extension of Reference
MicroscopeStand,,,,,,same,
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,,
,Name,,,,,,
,Type,,,,,same,enum
,Origin,,,,,,
,EyepieceFieldNumber,,,,,,
,AnnotationRef,,,,,same,Extension of Reference
,"substitution group 
(choose one)",InvertedMicroscope,,,,,
,,,,,,,
,,UprightMicroscope,,,,,
,,,,,,,
Software,,,,,,,
,ID,,,,,,
,Name,,,,,,
,Version,,,,,,
,Developer,,,,,,
,WebsiteURL,,,,,,
,PrimaryPublicationID,,,,,,
,OpenSource,,,,,,
,Macro,,,,,,
,Build,,,,,,
,Patch,,,,,,
,ReleaseDate,,,,,,
,Launguage,,,,,,
,SoftwareModuleRef,,,,,,
,AnnotationRef,,,,,same,Extension of Reference
,"substitution group 
(choose one or more)",AcquisitionSoftware,,,,,
,,,,,,,
,,SoftwareModule,,,,,
,,,,,,,
MicroscopeTable,,,,,,,
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,,
,Name,,,,,,
,MultipleMicroscopes,,,,,,
,Type,,,,,,
,TableWidth,,,,,,
,TableDepth,,,,,,
,AnnotationRef,,,,,same,Extension of Reference
,,,,,,,
EnvironmentalControlDevice,,,,,,,
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,,
,Name,,,,,,
,TemperatureControl,,,,,,
,HumidityControl,,,,,,
,CO2Control,,,,,,
,O2Control,,,,,,
,VibrationControl,,,,,,
,StandCompatibility,,,,,,
,Perfusion,,,,,,
,LidMaterial,,,,,,
,MaxTemberature,,,,,,
,MinTemperature,,,,,,
,TemperatureAccuracy,,,,,,
,TTL,,,,,,
,AnnotationRef,,,,,same,Extension of Reference
,,,,,,,
LightSource,,,,,,same,SubstitutionGroup
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,same,LSID
,Name,,,,,,
,PurchaseDate,,,,,,
,IlluminationPowerReportingStatistic,,,,,,
,IlluminationPowerReportingPosition,,,,,,
,removed OME field(s),,,,,Power (moved to WavelengthRange),
,AnnotationRef,,,,,same,Extension of Reference
,"substitution group 
(choose one or more)",Arc,,,,same,-
,,,Type,,,same,enum
,,,IlluminationWavelengthRange,,,,
,,,,IlluminationPower,,,
,,,,PeakWavelength,,,
,,,,CutOn,,,
,,,,CutOff,,,
,,,,WavelengthProfileFile,,,
,,,,,,,
,,Filament,,,,same,-
,,,Type,,,same,enum
,,,IlluminationWavelengthRange,,,,
,,,,IlluminationPower,,,
,,,,PeakWavelength,,,
,,,,CutOn,,,
,,,,CutOff,,,
,,,,WavelengthProfileFile,,,
,,,,,,,
,,Laser,,,,same,-
,,,Type,,,same,enum
,,,Tuneable,,,same,boolean
,,,Pulse,,,same,enum
,,,LaserMedium,,,same,enum
,,,IsPumped,,,Pump,boolean
,,,RepetitionRate,,,same,float
,,,FrequencyMultiplication,,,same,positiveInt
,,,ModulationMechanism,,,,
,,,LaserClass,,,,
,,,IsPump,,,,
,,,Position,,,,
,,,PulseDuration,,,,
,,,Acousto-OpticalDeviceRef,,,,
,,,,,,,
,,,Pump,,,same (changed to  type LaserRef),Element
,,,,,ID,LightSourceID,
,,,,,,,
,,,IlluminationWavelengthRange,,,,
,,,,IlluminationPower,,,
,,,,PeakWavelength,,,
,,,,CutOn,,,
,,,,CutOff,,,
,,,,WavelengthProfileFile,,,
,,,,,,,
,,LightEmittingDiode,,,,same,-
,,,Type,,,,
,,,LEDModule,,,,
,,,,ProjectionAngle,,,
,,,,IlluminationWavelengthRange,,,
,,,,,IlluminationPower,,
,,,,,PeakWavelength,,
,,,,,CutOn,,
,,,,,CutOff,,
,,,,,WavelengthProfileFile,,
,,,,,,,
,,MultLaserEngine,,,,,
,,,SingleMode,,,,
,,,NumberOfLasers,,,,
,,,OutputPortNumber,,,,
,,,MultiportSwitchTime,,,,
,,,LaserRef,,,,
,,,,,,,
LightSourceCoupling,,,,,,,
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,,
,Name,,,,,,
,Attenuation,,,,,,
,Transmittance,,,,,,
,CouplingLensRef,,,,,,
,AnnotationRef,,,,,same,Extension of Reference
,"substitution group 
(choose one or more)",LightGuide,,,,,
,,,Type,,,,
,,,RefractiveIndex,,,,
,,,NumericalAperture,,,,
,,,AcceptanceAngle,,,,
,,,Geometry,,,,
,,,MaterialName,,,,
,,,SingleMode,,,,
,,,WaveguideMode,,,,
,,,Diameter,,,,
,,,WavelengthRange,,,,
,,,,,PeakWavelength,,
,,,,,CutOn,,
,,,,,CutOff,,
,,,,,WavelengthProfileFile,,
,,,,,,,
,,FreeBeam,,,,,
,,,DirectMount,,,,
,,,MountType,,,,
,,,,,,,
Objective,,,,,,same,-
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,same,LSID
,Magnification,,,,,NominalMagnification,float
,LensNA,,,,,same,float
,Correction,,,,,same,enum
,ImmersionType,,,,,Immersion,enum
,WorkingDistance,,,,,same,float
,Iris,,,,,same,boolean
,CalibratedMagnification,,,,,same,float
,AnnotationRef,,,,,same,Extension of Reference
,Name,,,,,,
,InfinityCorrected,,,,,,
,ContrastModulation,,,,,,
,DIC,,,,,,
,LightType,,,,,,
,CorrectionCollar,,,,,,
,CorrectionCollarType,,,,,,
,DippingMedium,,,,,,
,PhaseContrastDesignation,,,,,,
,ObjectiveViewField,,,,,,
,ImageDistance,,,,,,
,FrontFocalLength,,,,,,
,BackFocalLength,,,,,,
,ParfocalizingDistance,,,,,,
,,,,,,,
OpticsHolder,,,,,,FilterSet,Element
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,same,LSID
,Name,,,,,,
,Motorized,,,,,,
,ResponseTime,,,,,,
,NrOfSlots,,,,,,
,AnnotationRef,,,,,same,Extension of Reference
,"substitution group 
(choose one or more)",FilterCube,,,,FilterSet,
,,,ExcitationFilterRef,,,ExcitationFilterRef,Extension of Ref
,,,StandardDichroicRef,,,DichroicRef,Extension of Ref
,,,EmissionFilterRef,,,EmissionFilterRef,Extension of Ref
,,,OpticsHolderPosition,,,,
,,,,,,,
,,FilterCubeTurret,,,,,
,,,FilterCubeRef,,,,
,,,,,,,
,,FilterWheel,,,,,
,,,"substitution group 
(choose one or more)",ExcitationFilterWheel,,,
,,,,,ExcitationFilterRef,,
,,,,,,,
,,,,DichroicFilterWheel,,,
,,,,,StandardDichroicRef,,
,,,,,,,
,,,,EmissionFIlterWheel,,,
,,,,,EmissionFilterRef,,
,,,,,,,
,,FilterSlider,,,,,
,,,"substitution group 
(choose one or more)",ExcitationFilterSlider,,,
,,,,,ExcitationFilterRef,,
,,,,,,,
,,,,DichroicFilterSlider,,,
,,,,,StandardDichroicRef,,
,,,,,,,
,,,,EmissionFIlterSlider,,,
,,,,,EmissionFilterRef,,
,,,,,,,
,,OpticsTurret,,,,,
,,,OpticalApertureRef,,,,
,,,FilterRef,,,,
,,,MirroringDeviceRef,,,,
,,,LensRef,,,,
,,,PrismRef,,,,
,,,PolarizationOpticsRef,,,,
,,,,,,,
Filter,,,,,,same (became an APE and got specialized),-
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,same,LSID
,Type,,,,,same,enum
,FilterHolderPosition,,,,,FilterWheel,string
,Name,,,,,,
,CoatingMethod,,,,,,
,LightPathLocation,,,,,,
,Technology,,,,,,
,AttenuationMethod,,,,,,
,AttenuationCoefficient,,,,,,
,Diameter,,,,,,
,Thickness,,,,,,
,AngleOfIncidence,,,,,,
,Polarization,,,,,,
,AnnotationRef,,,,,same,Extension of Reference
,,,,,,,
,TransmittanceRange,,,,,same,Element
,,Wavelength,,,,CutIn,
,,Transmittance,,,,same,
,,removed OME field(s),,,,CutInTolerance,nonNegativeFloat
,,,,,,CutOut,positiveFloat
,,,,,,CutOutTolerance,nonNegativeFloat
,,FWHMBandwidth,,,,,
,,,,,,,
,TransmittanceProfileFile,,,,,,
,,,,,,,
,"substitution group 
(choose one or more)",ExcitationFilter,,,,,
,,,,,,,
,,EmissionFilter,,,,,
,,,,,,,
,,NeutralDensity,,,,,
,,,NDType,,,,
,,,OpticalDensity,,,,
,,,,,,,
,,GenericFilter,,,,,
,,,,,,,
MirroringDevice,,,,,,Dichroic,Element
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,same,LDIS
,Name,,,,,,
,OpticsHolderPosition,,,,,,
,MirrorType,,,,,,
,Geometry,,,,,,
,Diameter,,,,,,
,RadiusOfCurvature,,,,,,
,AngleOfIncidence,,,,,,
,SubstrateType,,,,,,
,SubstrateMaterial,,,,,,
,GlassCode,,,,,,
,AnnotationRef,,,,,same,Extension of Reference
,"substitution group 
(choose one or more)",Dichroic,,,,,
,,,Type,,,,
,,,CoatingMethod,,,,
,,,LightPathLocation,,,,
,,,Technology,,,,
,,,AttenuationMethod,,,,
,,,AttenuationCoefficient,,,,
,,,Thickness,,,,
,,,Polarization,,,,
,,,TransmittanceRange,,,same,Element
,,,,Wavelength,,CutIn,
,,,,Transmittance,,same,
,,,,removed OME field(s),,CutInTolerance,nonNegativeFloat
,,,,,,CutOut,positiveFloat
,,,,,,CutOutTolerance,nonNegativeFloat
,,,,FWHMBandwidth,,,
,,,,,,,
,,,ReflectanceRange,,,,
,,,,Wavelength,,,
,,,,FWHMBandwidth,,,
,,,,Reflectance,,,
,,,,,,,
,,,TransmittanceProfileFile,,,,
,,,,,,,
,,,ReflectanceProfileFile,,,,
,,,,,,,
,,,"substitution group 
(choose one or more)",StandardDichroic,,,
,,,,,,,
,,,,AdditionalDichroic,,,
,,,,,,,
,,Beamsplitter,,,,,
,,,Transmittance,,,,
,,,TransmissionAngle,,,,
,,,Reflectance,,,,
,,,TransmittanceProfileFile,,,,
,,,ReflectanceProfileFile,,,,
,,,,,,,
,,ReflectingMirror,,,,,
,,,Reflectance,,,,
,,,ReflectanceProfileFile,,,,
,,,,,,,
StageInsert,,,,,,,
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,,
,Name,,,,,,
,SampleHolderType,,,,,,
,TemperatureControlled,,,,,,
,NumberOfSlots,,,,,,
,AnnotationRef,,,,,same,Extension of Reference
,,,,,,,
SamplePositioning,,,,,,,
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,,
,Name,,,,,,
,Encoded,,,,,,
,Motorized,,,,,,
,ZMaxVelocity,,,,,,
,ZRepeatability,,,,,,
,ZTravelRange,,,,,,
,MovementAxes,,,,,,
,BuiltIn,,,,,,
,ZReproducibility,,,,,,
,ZSettlingTime,,,,,,
,ZResolution,,,,,,
,ZPositionLinearityError,,,,,,
,Type,,,,,,
,RotationAngle,,,,,,
,AnnotationRef,,,,,same,Extension of Reference
,"substitution group 
(choose one or more)",FocusingDevice,,,,,
,,,"substitution group 
(choose one or more)",TurretObjectiveFocusing,,,
,,,,,,,
,,,,IndividualObjectiveFocusing,,,
,,,,,PiezoElectric,,
,,,,,,,
,,,,Z-Drive,,,
,,,,,,,
,,Stage,,,,,
,,,XYMaxVelocity,,,,
,,,XYRepeatability,,,,
,,,XTravelRange,,,,
,,,YTravelRange,,,,
,,,XYReproducibility,,,,
,,,XYSettlingTime,,,,
,,,XYResolution,,,,
,,,XYPositionLinearityError,,,,
,,,"substitution group 
(choose one or more)",MechanicalStage,,,
,,,,,,,
,,,,PiezoElectricStage,,,
,,,,,,,
FocusStabilizationDevice,,,,,,,
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,,
,Name,,,,,,
,Mechanism,,,,,,
,Algorithm,,,,,,
,TwoStep,,,,,,
,Wavelength,,,,,,
,AnnotationRef,,,,,,
,,,,,,,
OpticalAssembly,,,,,,,
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,,
,Name,,,,,,
,FilterRef,,,,,,
,LensRef,,,,,,
,MirrorringDeviceRef,,,,,,
,OpticalApertureRef,,,,,,
,PolarizationOpticsRef,,,,,,
,PrismRef,,,,,,
,AnnotationRef,,,,,same,Extension of Reference
,"substitution group 
(choose one or more)",BeamCollimator,,,,,
,,,,,,,
,,BeamExpander,,,,,
,,,Configuration,,,,
,,,,,,,
,,Condenser,,,,,
,,,Correction,,,,
,,,Type,,,,
,,,,,,,
,,MicroscopeTube,,,,,
,,,Type,,,,
,,,MechanicalLength,,,,
,,,OpticalLength,,,,
,,,Factor,,,,
,,,,,,,
OpticalAperture,,,,,,,
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,,
,Name,,,,,,
,OpticsHolderPosition,,,,,,
,OuterDiameter,,,,,,
,AnnotationRef,,,,,same,Extension of Reference
,"substitution group 
(choose one or more)",DarkFieldStop,,,,,
,,,CenterStopDiameter,,,,
,,,,,,,
,,PhaseRing,,,,,
,,,PhaseNumber,,,,
,,,CenterStopDiameter,,,,
,,,SlitWidth,,,,
,,,,,,,
,,HoffmanPlate,,,,,
,,,Design,,,,
,,,,,,,
,,IrisDiaphragm,,,,,
,,,MaxApertureDiameter,,,,
,,,Shape,,,,
,,,,,,,
,,VarelRing,,,,,
,,,,,,,
,,Shutter,,,,,
,,,ResponseTime,,,,
,,,Function,,,,
,,,OperationFrequency,,,,
,,,Motorized,,,,
,,,MaxApertureDiameter,,,,
,,,Multimode,,,,
,,,,,,,
Lens,,,,,,,
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,,
,Name,,,,,,
,Magnification,,,,,,
,LensNA,,,,,,
,Infinity,,,,,,
,Composite,,,,,,
,Shape,,,,,,
,Geometry,,,,,,
,Diameter,,,,,,
,Coating,,,,,,
,AttenuationCoefficient,,,,,,
,WorkingDistance,,,,,,
,ImageDistance,,,,,,
,FrontFocalLength,,,,,,
,BackFocalLength,,,,,,
,RadiusOfCurvature,,,,,,
,MaterialName,,,,,,
,GlassCode,,,,,,
,RefractiveIndex,,,,,,
,AbbeNumber,,,,,,
,Density,,,,,,
,AnnotationRef,,,,,same,Extension of Reference
,"substitution group 
(choose one or more)",MagnificationChanger,,,,,
,,,,,,,
,,GenericLens,,,,,
,,,,,,,
,,BeamExpanderLens,,,,,
,,,,,,,
,,BeamCollimatorLens,,,,,
,,,,,,,
,,CondenserLens,,,,,
,,,,,,,
,,CouplingLens,,,,,
,,,,,,,
,,RelayLens,,,,,
,,,,,,,
,,TubeLens,,,,,
,,,,,,,
PolarizationOptics,,,,,,,
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,,
,Name,,,,,,
,Function,,,,,,
,CrossPolarizer,,,,,,
,DIC,,,,,,
,BeamSplitter,,,,,,
,FaradayIsolator,,,,,,
,Construction,,,,,,
,Retardation,,,,,,
,Fabrication,,,,,,
,MaterialName,,,,,,
,GlassCode,,,,,,
,AnnotationRef,,,,,same,Extension of Reference
,WavelengthRange,,,,,,
,,PeakWavelength,,,,,
,,CutOn,,,,,
,,CutOff,,,,,
,,WavelengthProfileFile,,,,,
,,,,,,,
Prism,,,,,,,
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,,
,Name,,,,,,
,DIC,,,,,,
,Function,,,,,,
,Condenser,,,,,,
,OilObjective,,,,,,
,Compound,,,,,,
,RefractiveIndex,,,,,,
,Reflectance,,,,,,
,AngleOfIncidence,,,,,,
,DeviationAngle,,,,,,
,PrismAngle,,,,,,
,Design,,,,,,
,AbbeNumber,,,,,,
,MaterialName,,,,,,
,GlassCode,,,,,,
,Density,,,,,,
,AnnotationRef,,,,,same,Extension of Reference
,WavelengthRange,,,,,,
,,PeakWavelength,,,,,
,,CutOn,,,,,
,,CutOff,,,,,
,,WavelengthProfileFile,,,,,
,,,,,,,
Detector,,,,,,simple Class,Element
,Manufacturer,,,,,same,string
,Model,,,,,same,string
,CatalogNumber,,,,,SerialNumber,string
,LotNumber,,,,,same,string
,ΜanufactuerSpecs,,,,,,
,ID,,,,,same,LSID
,removed OME field(s),,,,,Type,
,,,,,,Gain,
,,,,,,AmplificationGain,
,,,,,,Offset,
,,,,,,Voltage,
,,,,,,Zoom,
,AnnotationRef,,,,,same,Extension of Reference
,Name,,,,,,
,Mount,,,,,,
,MaxBitDepth,,,,,,
,QuantumEfficiency,,,,,,
,ElectronConversionFactor,,,,,,
,ReadOutNoise,,,,,,
,DetectorNoiseModel,,,,,,
,DarkCurrentRate,,,,,,
,DynamicRange,,,,,,
,AmbientOperatingTemperature,,,,,,
,AmbientOperatingHumidity,,,,,,
,RelayLensRef,,,,,,
,WavelengthRange,,,,,,
,,PeakWavelength,,,,,
,,CutOn,,,,,
,,CutOff,,,,,
,,WavelengthProfileFile,,,,,
,,,,,,,
,"substitution group 
(choose one or more)",Camera,,,,,
,,,ArrayWidth,,,,
,,,ArrayHeight,,,,
,,,PixelWidth,,,,
,,,PixelHeight,,,,
,,,Illumination,,,,
,,,ManufacturerOffset,,,,
,,,Color,,,,
,,,PixelWellCapacity,,,,
,,,MaximumFrameRate,,,,
,,,MaximumReadoutRate,,,,
,,,VerticalClockSpeed,,,,
,,,"substitution group 
(choose one or more)",AnalogVideo,,,
,,,,,,,
,,,,CCD,,,
,,,,,Type,,
,,,,,CCDArchitecture,,
,,,,,RegisterWellCapacity,,
,,,,,,,
,,,,CMOS,,,
,,,,,Type,,
,,,,,,,
,,,,IntensifiedCamera,,,
,,,,,SensorType,,
,,,,,IntensifierType,,
,,,,,RegisterWellCapacity,,
,,,,,,,
,,PointDetector,,,,,
,,,Coating,,,,
,,,SignalProcessing,,,,
,,,ResponseTime,,,,
,,,DeadTime,,,,
,,,RadiantSensitivity,,,,
,,,"substitution group 
(choose one or more)",PhotoMultiplier,,,
,,,,,CollectionEfficiency,,
,,,,,Multianode,,
,,,,,MultianodeChannelNr,,
,,,,,MultianodeArrangement,,
,,,,,HeadOn,,
,,,,,,,
,,,,PhotoDiode,,,
,,,,,Avalanche,,
,,,,,PINJunction,,
,,,,,,,
,,,,HybridPhotoDetector,,,
,,,,,,,
,,GenericDetector,,,,,
,,,Map,,,,
